age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K
25,Private,81286,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2174,0,40,United-States,<=50K
20,Private,41356,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
18,Private,632271,Some-college,10,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0,0,40,Peru,<=50K
51,Local-gov,175750,HS-grad,9,Divorced,Transport-moving,Unmarried,Black,Male,0,0,40,United-States,<=50K
41,Local-gov,190786,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,<=50K
33,Private,152109,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
30,State-gov,576645,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,<=50K
34,Private,260560,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,122033,Some-college,10,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,99,United-States,<=50K
50,Private,155574,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,>50K
37,Private,232036,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
67,Self-emp-inc,51415,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,224462,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,84,United-States,>50K
56,Private,242782,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,44,United-States,<=50K
32,Self-emp-inc,235847,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,52,United-States,<=50K
59,Local-gov,102442,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K
66,Private,117162,10th,6,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,32,United-States,<=50K
31,Private,196125,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
17,Private,191260,11th,7,Never-married,Other-service,Own-child,White,Male,594,0,10,United-States,<=50K
23,Private,197613,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,227986,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
53,Private,107096,Bachelors,13,Never-married,Sales,Unmarried,White,Male,0,1669,50,United-States,<=50K
33,Private,111567,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,45,Germany,>50K
44,Federal-gov,344060,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
43,Local-gov,187034,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,107164,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
36,Private,172104,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Other,Male,0,0,40,India,>50K
29,Private,57423,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,<=50K
35,Private,474136,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1408,40,United-States,<=50K
32,Self-emp-not-inc,27207,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,80,United-States,<=50K
22,Private,249727,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,20,United-States,<=50K
35,Private,305379,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,United-States,>50K
18,Private,110230,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,11,United-States,<=50K
56,Private,436651,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,<=50K
54,Private,54065,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
18,Private,209792,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
37,State-gov,186934,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,155818,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
36,Private,191754,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
52,Self-emp-not-inc,30008,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
54,,108233,Assoc-acdm,12,Separated,,Not-in-family,Black,Female,0,0,20,United-States,<=50K
33,Private,80945,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,120910,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States,<=50K
33,Private,76493,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
28,Private,55360,HS-grad,9,Never-married,Sales,Other-relative,Black,Male,0,0,40,United-States,<=50K
77,Private,89655,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,227890,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,46,United-States,>50K
